"ID","NAME","LINK","TYPE","EXTRAS","DISCOVERED","ERROR"
"6706f1f315c2b9798b2b098a","Arsenal","Arsenal (Belgian band)","group_or_band",null,true,"NoMusicalInfoboxException"
"67083239f5951699062f90cc","Art Fox","","person",null,false,""
"670833223a9193be0699ab2c","Art Nouveau (John Vivier)","","person",null,false,""
"6706f35515c2b9798b2b0b56","Art of Anarchy","Art of Anarchy","group_or_band",{"origin":"United States","years_active":"2011–present","website":"{{URL|artofanarchyband.com}}"},true,""
"6706f5d115c2b9798b2b0e56","Arthur Kane","Arthur Kane","person",{"image":"Arthur Kane.jpg","caption":"Kane in 1973","birth_name":"Arthur Harold Kane Jr.","birth_date":"February 3, 1949","birth_place":"[[The Bronx]], New York City, U.S.","death_date":"{{Death date and age|2004|7|13|1949|2|3}}","death_place":"[[Los Angeles]], California, U.S.","years_active":"1970-1980s, 2004","occupation":[{"name":"Bassist"}]},true,""
"6706f0ec45fe7efa4ac730db","Arthur Seay","","person",null,true,"LookupError"
"67082e8d5f2a9b4b88ae08c3","Asesino","Asesino","group_or_band",null,false,""
"6706f40415c2b9798b2b0c31","Ashif Hakik","","person",null,true,"LookupError"
"67082f017e141ea1004f0d42","Ashley Hutchings","Ashley Hutchings","person",null,false,""
"67082cb15f2a9b4b88ae06ff","Asia","Asia (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"6706f28115c2b9798b2b0a3c","At the Drive-In","At the Drive-In","group_or_band",{"image":"File:At the Drive-In Lollapalooza.jpg","caption":"At the Drive-In live in 2012. From left to right: Rodríguez-López, Bixler-Zavala, Ward, Hajjar, and Hinojos.","landscape":"yes","origin":"[[El Paso, Texas]], U.S.","years_active":"{{flatlist|\n* 1994–2001\n* 2012\n* 2016–2018\n}}","website":"{{URL|atdimusic.com}}"},true,""
"6706f38315c2b9798b2b0b81","Ataxia","Ataxia (band)","group_or_band",null,true,"NoMusicalInfoboxException"
"670831bbf5951699062f9024","Athena Lee","Athena Lee","person",null,false,""
"6777fbda1ea44d07c041e076","Atom Willard","Atom Willard","person",null,false,""
"67082dd65f2a9b4b88ae0827","Atomic Rooster","Atomic Rooster","group_or_band",{"image":"Atomic Rooster live at HRH Prog X at Shepherd's Bush Empire 5th Sept 2021 - 51436557671.jpg","landscape":"yes","caption":"Atomic Rooster performing in 2021, (from left to right) [[Steve Bolton]], Pete French, Paul Everett, Shug Millidge, and Adrian Gautrey","origin":"United Kingdom","years_active":"1969&ndash;1975, 1980&ndash;1983, 2016–present","associated_acts":[{"link":"The Crazy World of Arthur Brown","name":"The Crazy World of Arthur Brown"},{"link":"Andromeda (British band)","name":"Andromeda"},{"link":"Leaf Hound","name":"Leaf Hound"},{"link":"Hard Stuff","name":"Hard Stuff"},{"link":"Cactus (American band)","name":"Cactus"},{"name":"[[Emerson"},{"name":"Lake & Palmer]]"}],"website":"{{URL|atomicroostermusic.com}}"},true,""
"6706f55d15c2b9798b2b0dde","Atticus Ross","Atticus Ross","person",{"birth_place":"[[London]], England","spouse":"Claudia Sarne","relatives":"[[Leopold Ross]] (brother)<br />[[Liberty Ross]] (sister)<br />[[Charles Glass]] (uncle)<br />[[Miles Lampson, 1st Baron Killearn|Miles Lampson]] (grandfather)<br />[[Aldo Castellani]] {{nowrap|(great-grandfather)}}<br />[[Curtis Lampson]] {{nowrap|(great-great-grandfather)}}","instrument":[{"name":"Keyboards"},{"name":"bass"}],"image_upright":"1.2","birth_date":"{{birth date and age|1968|1|16|df=y}}","caption":"Ross (right) with [[Trent Reznor]] (left) in 2006","years_active":"1992–present","background":"solo_singer","children":"3","image":"Reznor Ross G5 setup cropped tight.jpg","occupation":[{"name":"Musician"},{"name":"composer"},{"name":"record producer"},{"name":"audio engineer"}]},true,""
"67082da15f2a9b4b88ae07f3","Attika7","","group_or_band",null,false,""
